time,length,src,dst,src_port,dst_port,protocol,ttl
1745488977.465794,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.465796,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.465798,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.4658,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.466127,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.466159,1454,192.168.0.104,104.18.43.204,53152,443,TCP,64
1745488977.46616,1454,192.168.0.104,104.18.43.204,53152,443,TCP,64
1745488977.466473,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.466475,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.466594,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.469938,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.469941,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.469944,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.469946,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.469948,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.469949,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.469952,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.469954,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.470168,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.470315,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.470318,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.470442,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.471122,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.471126,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.471128,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.471294,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.472269,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
