src,src_port,dst,dst_port,protocol,packet_count,total_bytes,avg_packet_size,flow_duration,avg_ttl
155.54.14.90,17500,155.54.15.255,17500,UDP,1,507,507.0,0.0,128.0
155.54.1.10,53,155.54.12.205,63220,UDP,2,164,82.0,0.02352309226989746,63.5
155.54.12.205,63063,195.8.215.160,443,TCP,23,9206,400.2608695652174,0.22069406509399414,56.69565217391305
155.54.12.205,63064,188.65.124.90,443,TCP,11,4821,438.27272727272725,0.11095595359802246,56.90909090909091
155.54.1.10,53,155.54.12.205,63587,UDP,2,199,99.5,0.018592119216918945,63.5
155.54.1.10,53,155.54.12.205,63016,UDP,2,263,131.5,0.004467964172363281,63.5
155.54.1.10,53,155.54.12.205,65254,UDP,2,178,89.0,0.019598960876464844,63.5
155.54.12.205,63065,18.67.240.75,443,TCP,27,9095,336.85185185185185,0.6234970092773438,158.37037037037038
155.54.1.10,53,155.54.12.205,54882,UDP,2,207,103.5,0.019659996032714844,63.5
155.54.1.10,53,155.54.12.205,59868,UDP,2,271,135.5,0.0052988529205322266,63.5
155.54.12.91,60256,155.54.15.255,137,UDP,1,92,92.0,0.0,64.0
155.54.1.10,53,155.54.12.205,53600,UDP,2,178,89.0,0.021193981170654297,63.5
155.54.12.205,63066,54.192.95.80,443,TCP,34,21549,633.7941176470588,0.11775088310241699,175.1764705882353
155.54.12.91,138,155.54.15.255,138,UDP,1,216,216.0,0.0,64.0
155.54.1.10,53,155.54.12.205,51673,UDP,2,164,82.0,0.046890974044799805,63.5
155.54.1.10,53,155.54.12.205,58113,UDP,2,228,114.0,0.03651690483093262,63.5
155.54.12.205,65374,18.154.41.59,443,UDP,33,28242,855.8181818181819,0.1652219295501709,130.1818181818182
