src,src_port,dst,dst_port,protocol,packet_count,total_bytes,avg_packet_size,flow_duration,avg_ttl
2604010889,54915,2604011519,54915,2,-0.10835808054762854,-0.13845135381209625,0.3022341736844373,6.663083462047021,-0.17973435457060288
2604010701,-1,3758096635,-1,0,-0.21033159365367338,-0.16428781620502306,-0.6213198192826981,-0.3168139496966155,-2.1723145482823463
2604010701,59760,2900374788,443,2,0.7503662403453807,-0.011611991608565136,-0.07572564252791741,6.780130147390218,-0.17973435457060288
2900374788,443,2604010701,59760,2,1.142159211752816,0.40163057363251425,1.0842818854332956,6.773627718801227,-0.5545229498869845
2604011326,17500,4294967295,17500,2,-0.19423051263692945,-0.16062615701553987,0.020532376601797523,-0.3165215064221282,1.8444740961841841
2604011326,17500,2604011519,17500,2,-0.21033159365367338,-0.16351963595548114,0.020532376601797523,-0.3168139496966155,1.8444740961841841
2604010936,137,2604011519,137,2,-0.19423051263692945,-0.1629136270919536,-0.45729092477888256,5.425341811395305,-0.17973435457060288
2604011058,57621,2604011519,57621,2,-0.21033159365367338,-0.16411710948290262,-0.4786859979750324,-0.3168139496966155,-0.17973435457060288
2604011098,49480,2604011519,51007,2,-0.18886348563134814,-0.16085661109040245,-0.17915497322893445,4.824554631414292,1.8444740961841841
2887142523,57621,2887143423,57621,2,-0.21033159365367338,-0.16411710948290262,-0.4786859979750324,-0.3168139496966155,1.8444740961841841
2604010701,61472,2604007690,53,2,-0.21033159365367338,-0.1641811245036978,-0.5321736809654071,-0.3168139496966155,-0.17973435457060288
2604010701,57020,2604007690,53,2,-0.21033159365367338,-0.1641811245036978,-0.5321736809654071,-0.3168139496966155,-0.17973435457060288
2604007690,53,2604010701,57020,2,-0.21033159365367338,-0.1641128418148496,-0.4751201524423408,-0.3168139496966155,-0.21136261161364645
2604007690,53,2604010701,61472,2,-0.21033159365367338,-0.1641811245036978,-0.5321736809654071,-0.3168139496966155,-0.21136261161364645
2604010701,63041,2728365285,443,1,-0.16202835060344162,-0.15675111442340614,-0.1392175032627881,-0.23502341119298853,-0.17973435457060288
2728365285,443,2604010701,63041,1,-0.12982618856995376,-0.11002868457904497,2.058413098535071,-0.24545080074201792,-0.33787563978582064
2604010701,61523,2604007690,53,2,-0.21033159365367338,-0.16420673051201584,-0.5535687541615569,-0.3168139496966155,-0.17973435457060288
2604010701,49662,2604007690,53,2,-0.21033159365367338,-0.16420673051201584,-0.5535687541615569,-0.3168139496966155,-0.17973435457060288
2604007690,53,2604010701,49662,2,-0.21033159365367338,-0.16413844782316767,-0.4965152256384906,-0.3168139496966155,-0.21136261161364645
